source_id,category,badges,name,description,update_frequency,latest_update,next_check,usage,url
jnto_visitors,公的,公的|定量,JNTO 訪日外客統計,国籍・月別の訪日外客数、目的別、年次推移。現在の月次ダッシュボードの中核データ。,月次。推計値と暫定値を段階公表。,2026年5月分の推計値は2026-06-17公表予定。,2026-06-17,国別・年度別・外部イベント前後比較の基礎。,https://www.jnto.go.jp/statistics/data/visitors-statistics/
jnto_statistics_portal,公的,公的|可視化,日本の観光統計データ,訪日外客数、都道府県訪問率、宿泊、旅行消費、満足度などを横断的に確認できるJNTO系ポータル。,元データに応じて月次・四半期・年次。,更新日は元データごとに異なる。,毎月,都道府県・消費・満足度など、現ダッシュボード外の拡張候補探し。,https://statistics.jnto.go.jp/
jta_accommodation,公的,公的|定量,観光庁 宿泊旅行統計調査,延べ宿泊者数、外国人延べ宿泊者数、都道府県別・国籍別宿泊動向。,月次。第1次速報、第2次速報、年確定値。,ページ最終更新 2026-05-29。2026年4月分第1次速報、2026年3月分第2次速報を掲載。,毎月末,都道府県別の滞在・宿泊の強さを訪日客数と比較。,https://www.mlit.go.jp/kankocho/tokei_hakusyo/shukuhakutokei.html
jta_inbound_consumption,公的,公的|定量,観光庁 インバウンド消費動向調査,訪日外国人の旅行支出、費目別消費、国籍別消費、都道府県別参考表。,四半期・年次。,ページ最終更新 2026-05-28。2026年1-3月期1次速報は2026-04-15。,四半期ごと,人数増と消費増が一致しているか、国別単価の違いを確認。,https://www.mlit.go.jp/kankocho/tokei_hakusyo/gaikokujinshohidoko.html
jta_travelers,公的,公的|定量,観光庁 訪日外国人旅行者数・出国日本人数,訪日外国人旅行者数と出国日本人数の概要、JNTO・出入国在留管理庁への導線。,年次概要。詳細はJNTO・出入国在留管理庁側で更新。,ページ最終更新 2026-01-21。2025年訪日外国人旅行者数 4268万人を掲載。,年1回,訪日と日本人出国の対比、出入国データの確認導線。,https://www.mlit.go.jp/kankocho/tokei_hakusyo/shutsunyukokushasu.html
jta_release_schedule,公的,公的|予定,観光庁 観光統計公表予定日,旅行・観光消費動向調査、宿泊旅行統計調査、インバウンド消費動向調査の公表予定。,年度・予定変更時。,ページ最終更新 2026-03-31。,年度末,データ更新作業のカレンダー化、手動更新漏れ防止。,https://www.mlit.go.jp/kankocho/tokei_hakusyo/kohyoyoteibi.html
boj_fx,公的,公的|外部要因,日本銀行 外国為替市況（日次）,ドル円など為替の公表データ。訪日需要・消費単価の外部要因として利用。,毎営業日。,直近掲載 2026-06-12。,毎営業日,円安・円高イベント、国別需要変化の説明変数。,https://www.boj.or.jp/statistics/market/forex/fxdaily/index.htm
raida,公的,公的|地域,RAIDA 地方創生データ分析評価プラットフォーム,観光振興テーマ、地域の宿泊客属性、経済効果、AI分析サマリーなど。,機能・データ追加時。,お知らせ最新 2026-03-27。,毎月,都道府県・地域施策の背景整理、観光振興の定性コメント補強。,https://raida.go.jp/
honichi,民間,民間|定性,訪日ラボ インバウンドニュース,国・地域別、都道府県別、商品別、口コミ・ランキングなどのニュースと分析。,高頻度。サイト説明では毎日配信。,新着記事 2026-06-11 を確認。,毎日,イベント仮説、国別嗜好、口コミ・人気施設の定性補足。,https://honichi.com/news/
yamatogokoro,民間,民間|定性,やまとごころ.jp インバウンドニュース,ニュース、特集、データ、事例、コラム、国別カテゴリを持つインバウンド専門メディア。,随時。ニュースカテゴリで更新。,新着一覧で 2026-03-10、週間ランキングを確認。,毎週,現場課題、地域事例、業界視点のコメント作成。,https://yamatogokoro.jp/inboundnews/
